segment_id,timestamp_micros,id_interno,object_type,box_center_x,box_center_y,box_center_z,box_length,box_width,box_height,speed_mps,num_lidar_points,weather,time_of_day,detection_difficulty,sensor_version
seg_0063,1692575018900000,det_0026901,VEHICLE,41.004,23.086,1.529,4.414,1.585,1.622,2.214,40,sunny,Day,LEVEL_1,v2.0.1
seg_0139,1694475019100000,det_0033893,PEDESTRIAN,48.027,0.412,0.628,0.951,0.664,1.452,1.630,37,sunny,Night,LEVEL_1,v2.0.1
seg_0061,1692525000700000,det_0023746,VEHICLE,15.731,-28.511,1.207,13.703,2.830,3.401,8.504,63,sunny,Day,LEVEL_1,v2.0.1
seg_0019,1691475019200000,det_0006728,SIGN,21.945,-23.360,0.751,0.446,0.402,2.239,0.000,-1,sunny,Day,LEVEL_1,v2.0.1
seg_0047,1692175009900000,det_0036298,VEHICLE,23.309,23.357,0.862,5.159,1.650,1.680,10.501,65,soleado,Day,LEVEL_2,v2.0.1
seg_0090,1693250017700000,det_0007394,VEHICLE,24.837,-4.541,0.341,3.404,1.758,1.720,6.982,78,SUNNY,Day,LEVEL_1,v2.0.1
seg_0044,1692100001300000,det_0019981,VEHICLE,41.404,-2.914,1.256,3.620,1.789,1.560,9.718,44,Sunny,Day,LEVEL_1,v2.0.1
seg_0076,1692900016500000,det_0001378,VEHICLE,21.503,-5.995,0.718,3.570,2.342,1.399,8.584,121,sunny,Day,LEVEL_1,v2.0.1
seg_0080,1693000011900000,det_0039795,VEHICLE,-0.575,-12.020,0.259,4.657,1.840,1.683,14.556,-1,RAIN ,Day,LEVEL_1,v2.0.1
seg_0023,1691575006900000,det_0024067,VEHICLE,-27.108,-19.861,0.770,4.847,2.040,2.068,17.095,70,fog,Day,LEVEL_1,v2.0.1
seg_0004,1691100014700000,det_0031365,VEHICLE,37.922,7.883,1.182,3.796,1.971,1.732,11.683,68,Sunny,Day,LEVEL_1,v2.0.1
seg_0079,1692975013400000,det_0003999,VEHICLE,20.551,15.871,1.032,4.463,2.361,1.797,11.598,81,rain,Day,LEVEL_1,v2.0.1
seg_0106,1693650018700000,det_0038293,Ped,33.070,12.998,1.415,0.590,0.962,1.593,2.165,61,rain,Night,LEVEL_1,v2.0.1
seg_0054,1692350008000000,det_0014945,Pedestrian,28.771,-13.300,1.156,0.974,0.803,1.790,1.484,60,SUNNY,Day,LEVEL_1,v2.0.1
seg_0124,1694100002700000,det_0038362,PEDESTRIAN,24.254,-14.653,1.442,1.132,0.592,1.895,0.731,81,SUNNY,Day,LEVEL_1,v2.0.1
seg_0137,1694425002700000,det_0026519,PEDESTRIAN,26.189,-5.562,0.504,1.075,0.759,1.784,1.546,76,sunny,Night,LEVEL_1,v2.0.1
seg_0025,1691625008700000,det_0032133,PEDESTRIAN,-14.621,-19.062,0.487,0.937,0.825,1.428,1.893,106,SUNNY,Day,LEVEL_1,v2.0.1
seg_0056,1692400009400000,det_0007741,VEHICLE,13.407,-2.768,0.801,5.485,2.172,1.932,15.363,197,sunny,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0055,1692375006600000,det_0010187,VEHICLE,12.284,-2.461,0.578,5.126,1.810,1.324,7.583,224,sunny,Day,LEVEL_1,v2.0.1
seg_0107,1693675000800000,det_0026150,VEHICLE,24.535,-4.548,1.235,5.393,1.714,1.363,16.808,96,sunny,Day,LEVEL_1,v2.0.1
seg_0112,1693800014700000,det_0033847,SIGN,17.529,6.242,0.729,0.243,0.369,2.363,0.000,143,niebla,Day,LEVEL_1,v2.0.1
seg_0070,1692750016600000,det_0028649,VEHICLE,24.551,25.442,0.719,4.812,1.771,1.978,7.454,57,sunny,Night,LEVEL_1,v2.0.1
seg_0021,1691525004600000,det_0017865,VEHICLE,-3.160,-2.293,0.828,5.221,1.765,1.580,4.990,557,sunny,Day,LEVEL_1,v2.0.1
seg_0149,1694725004000000,det_0034956,VEHICLE,-19.556,-16.370,0.783,2.556,2.174,1.919,6.762,108,soleado,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0051,1692275012200000,det_0025571,VEHICLE,-4.485,-34.338,1.367,5.332,1.825,1.345,1.226,48,Fog,Night,LEVEL_1,v2.0.1
seg_0076,1692900004600000,det_0010324,VEHICLE,-6.382,7.396,0.977,5.000,2.216,1.943,3.551,258,sunny,Day,LEVEL_1,v2.0.1
seg_0019,1691475002800000,det_0022419,VEHICLE,10.425,10.532,1.277,4.703,1.841,1.531,9.956,186,sunny,Day,LEVEL_1,v2.0.1
seg_0151,1694775011600000,det_0024766,VEHICLE,14.753,9.868,0.559,5.131,1.889,2.369,8.316,147,sunny,Night,LEVEL_1,v2.0.1
seg_0113,1693825001300000,det_0036121,PEDESTRIAN,2.893,-5.712,1.378,0.922,0.581,1.628,1.429,394,rain,Day,LEVEL_1,v2.0.1
seg_0000,1691000005000000,det_0035830,VEHICLE,45.428,-0.570,0.369,4.049,2.224,1.527,7.521,39,sunny,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0009,1691225000800000,det_0001888,VEHICLE,43.439,10.920,0.565,4.427,2.123,1.324,9.308,43,Sunny,Day,LEVEL_1,v2.0.1
seg_0127,1694175002900000,det_0004695,VEHICLE,3.699,1.722,1.091,5.594,1.892,1.695,17.158,484,rain,Day,LEVEL_1,v2.0.1
seg_0020,1691500011700000,det_0007998,VEHICLE,4.806,6.455,0.886,4.902,1.932,1.472,6.493,309,sunny,Day,LEVEL_1,v2.0.1
seg_0101,1693525011100000,det_0016760,VEHICLE,-14.025,0.870,0.055,5.468,2.136,1.509,10.779,185,sunny,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0127,1694175000000000,det_0027907,VEHICLE,26.272,-4.978,0.600,4.582,1.921,1.240,15.704,78,fog,Day,LEVEL_1,v2.0.1
seg_0028,1691700013200000,det_0035575,PEDESTRIAN,28.047,-11.349,1.304,0.936,1.088,1.815,2.480,87,Fog,Night,LEVEL_1,v2.0.1
seg_0103,1693575004200000,det_0030754,VEHICLE,25.827,-25.975,0.967,3.869,2.023,1.749,9.475,59,sunny,Night,LEVEL_1,v2.0.1
seg_0036,1691900009400000,det_0030764,PEDESTRIAN,40.489,0.485,1.035,0.624,0.935,1.730,0.440,42,sunny,Day,LEVEL_1,v2.0.1
seg_0031,1691775005100000,det_0000734,VEHICLE,36.072,-5.266,1.396,4.967,1.670,1.538,11.091,62,Fog,Day,LEVEL_1,v2.0.1
seg_0103,1693575011800000,det_0039311,VEHICLE,50.358,-7.468,0.991,4.165,1.575,1.611,13.127,37,sunny,Day,LEVEL_1,v2.0.1
